0	180	201	243	200
1	255   	30	30	200
2	150	150	150	190
3	155	255	255	190
4	255	255	195	190
5	55	25	255	190
6	255	255	255	190
7	150	150	99	190
8	255	255	255	190
9	230	230	50	190
10	155	255	255	190
11	255	185	252	190
12	255	155	255	190
13	255	255	155	190
14	125	155	175	190
15	255	215	255	190
16	255	255	185	190
17	255	155	155	190
18	155	255	250	190
19	255	0	185	190
20	0	255	255	190
21	255	55	0	190
22	255	255	255	190
23	255	255	255	190
24	78	25	123	190
25	54	255	255	190
26	255	134	179	190
27	255	255	255	190
28	56	255	180	190
29	255	255	255	190
30	155	255	221	190
31	55	255	255	190
32	255	55	205	190
33	255	255	205	190
34	25	255	55	190
35	255	255	255	190
36	255	255	55	190
37	255	55	253	190
38	25	255	252	190
39	255	255	23	190
40	25	155	251	190
41	0	255	252	190
42	0	200	200	190
43	90	255	90	190
44	210	255	180	190
45	230	155	50	190
46	255	0	0	190
47	186	20	70	190
48	115	241	194	190
49	0	0	255	200
50	255	100	0	190
51	255	255	0	200
52	255	255	255	190
53	255	255	255	190
54	255	255	67	190
55	255	255	255	190
56	255	90	255	190
57	255	255	255	190
58	255	255	70	190
59	80	255	25	190
60	255	78	255	190
61	100	100	255	190
62	90	255	25	190
63	255	255	25	190
64	255	45	55	190
65	255	255	55	190
66	255	255	34	190
67	255	67	255	190
68	187	255	255	190
69	255	134	55	190
70	255	255	123	190
71	255	255	255	190
72	255	255	189	190
73	255	132	255	190
74	123	255	255	190
75	255	167	55	190
76	255	255	212	190
77	5	252	255	190
78	255	235	55	190
79	255	2	255	190
80	255	253	255	190
81	255	245	55	190
82	45	42	255	190
83	255	255	55	190
84	255	100	44	190
85	55	255	12	190
86	255	255	14	190
87	255	18	255	190
88	12	255	255	190
89	255	12	45	190
90	255	255	25	190
91	255	155	255	190
92	51	255	2	190
93	12	19	255	190
94	255	255	205	190
95	255	255	255	190
96	255	25	215	190
97	25	225	255	190
98	255	125	225	190
99	155	255	255	190
100	125	255	245	190
101   	75	255	255	190
102	95	255	111	190
103	255	80	155	190
104	255	90	255	190
105	255	111	255	190
106	255	125	255	190
107	25	255	255	190
108	155	255	255	190
109	255	255	255	190
110	255	25	255	190
111	255	25	25	190
112	255	255	255	190
113	55	255	155	190
114	55	255	255	190
115	255	55	255	190
116	250	255	255	190
117	255	215	225	190
118	200	215	245	190
119	215	235	155	190
120	155	155	225	190
121	90	89	255	190
122	255	255	89	190
123	255	67	78	190
124	67	255	255	190
125	255	56	255	190
126	255	34	45	190
127	23	34	255	190
128	255	23	255	190
129	255	255	12	190
130	255	89	90	190
131	78	67	255	190
132	60	56	255	190
133	255	110	255	190
134	255	255	100	190
135	255	90	255	190
136	80	255	255	190
137	255	70	255	190
138	255	255	60	190
139	255	50	255	190
140	40	255	255	190
141	0	0	155	190
142	30	255	255	190
143	255	20	255	190
144	223	255	155	190
145	0	255	255	190
146	235	235	235	190
147	225	225	225	190
148	215	222	255	190
149	90	90	70	190
150	255	222	133	190
151	255	160	167	190
152	150	255	255	190
153	255	140	255	190
154	255	255	130	190
155	255	119	255	190
156	117	255	255	190
157	116	255	115	190
158	255	255	255	190
159	255	255	114	190
160	112	255	255	190
161	255	113	255	190
162	100	90	50	190
163	111	255	123	190
164	255	198	145	190
165	189	255	255	190
166	255	137	255	190
167	255	255	122	190
168	255	130	255	190
169	255	145	255	190
170	255	255	255	190
171	255	184	255	190
172	255	255	255	190
173	134	255	255	190
174	255	255	255	190
175	255	255	255	190
176	255	167	180	190
177	255	255	255	190
178	134	143	255	190
179	255	167	255	190
180	255	255	255	190
181	255	234	255	190
182	255	255	255	190
183	255	255	255	190
184	255	200	255	190
185	255	255	255	190
186	255	255	252	190
187	255	255	255	190
188	252	253	253	190
189	21	255	255	190
190	255	251	255	190
191	255	232	255	190
192	255	232	232	190
193	232	85	255	190
194	232	255	255	190
195	255             67	255	190
196	255	255	255	190
197	234	255	255	190
198	100	255	255	190
199	91	255	255	190
200	255	92	255	190
201	255	255	93	190
202	255	94	255	190
203	96	255	255	190
204	200	255	255	190
205	170	255	170	190
206	255	170	170	190
207	170	170	255	190
208	170	255	255	190
209	255	170	255	190
210	255	255	170	190
211	100	255	100	190
212	100	100	255	190
213	255	100	100	190
214	255	255	100	190
215	255	100	255	190
216	100	255	255	190
217	200	255	200	190
218	255	200	200	190
219	200	200	255	190
220	200	255	255	190
221	255	200	255	190
222	255	255	200	190
223	155	255	155	190
224	155	155	255	190
225	255	155	155	190
226	255	255	155	190
227	255	155	255	190
228	155	255	255	190
229	75	255	75	190
230	255	75	75	190
231	75	75	255	190
232	75	255	255	190
233	255	75	255	190
234	255	255	75	190
235	255	255	55	190
236	255	55	255	190
237	55	255	255	190
238	155	255	255	190
239	255	155	255	190
240	255	255	155	190
241	0	0	255	190
242	55	255	95	190
243	25	200	55	190
244	255	65	5	190
245	35	45	255	190
246	15	255	255	190
247	255	25	255	190
248	255	255	 55	190
249	255	155	155	190
250	55	55	255	190
251	55	255	255	190
252	255	105	255	190
253	255	255	200	190
254	190	255	190	190
255	200	200	255	190
